time,line
00:09:28,Riley can't live here.
00:09:29,She's right. It's the worst.
00:09:30,FEAR: Really bad. DISGUST: It's absolutely the worst.
00:09:31,DISGUST: It's the worst place I've ever been in my entire life.
00:09:34,"Hey, it's nothing our butterfly curtains couldn't fix."
00:09:37,I read somewhere that an empty room is an opportunity.
00:09:39,Where did you read that? It doesn't matter.
00:09:40,I read it and it's great.
00:09:41,We'll put the bed there.
00:09:43,JOY: And the desk over there.
00:09:44,FEAR: The hockey lamp goes there.
00:09:45,"ANGER: Uh, put the chair there."
00:09:46,JOY: The trophy collection goes there.
00:09:48,FEAR: Stars! I like that!
00:09:49,JOY: Now we're talking!
00:09:51,Let's go get our stuff from the moving van!
00:09:53,DAD: All right. Goodbye.
00:09:54,"Well, guess what?"
00:09:55,The moving van won't be here until Thursday.
00:09:57,You're kidding. Mmm-hmm.
00:09:59,The van is lost? It is the worst day ever!
00:10:01,DISGUST: That figures. The van is lost.
00:10:03,You said it would be here yesterday!
00:10:04,I know that's what I said. That's what they told me!
00:10:06,FEAR: Mom and Dad are stressed out!
00:10:07,ANGER: They're stressed out? FEAR: What are we going to do?
00:10:09,(ALL TALKING AT ONCE) I've got a great idea!
00:10:12,Did you even read the contract?
00:10:14,Andersen makes her move. She's closing in!
00:10:16,Hey! (LAUGHS)
00:10:18,"DAD: Oh, no, you're not!"
00:10:19,She's lining up for the shot!
00:10:20,DAD: Coming behind you.
00:10:21,DAD: Watch out! Watch out! She shoots and she scores!
00:10:23,Yeah! (ALL CHEERING)
00:10:25,"Come on, Grandma! Ha!"
00:10:28,"""Grandma""?"
00:10:29,"Uh-oh, she put her hair up, we're in for it!"
00:10:31,Whoo!
00:10:32,"Hey, put me down! (DAD LAUGHING)"
00:10:34,(ALL LAUGHING)
00:10:35,(BELL DINGS)
00:10:37,(CELL PHONE RINGING) Ah! Sorry.
00:10:39,Hold on. Hold on.
00:10:41,Hello? Wait. Wh...
00:10:43,DAD: You're kidding.
00:10:45,(SIGHS) All right. Stall for me.
00:10:47,I'll be right there.
00:10:48,"The investor's supposed to show up on Thursday,"
00:10:50,not today!
00:10:51,(SIGHS) I got to go.
00:10:53,It's okay. We get it.
00:10:54,"You're the best. Thanks, hon."
00:10:56,"See you, sweetie."
00:10:59,FEAR: Dad just left us.
00:11:00,He doesn't love us anymore.
00:11:02,That's sad.
00:11:03,"I should drive, right?"
00:11:05,Joy?
00:11:07,What are you doing?
00:11:08,"Uh, just give me one second."
00:11:10,"Um, you know what I've realized?"
00:11:12,Riley hasn't had lunch! Remember?
00:11:17,"Hey, I saw a pizza place down the street."
00:11:19,Maybe we could try that?
00:11:20,Pizza sounds delicious.
00:11:22,Pizza? That's good. Yes! Pizza!
00:11:26,FEAR: What the heck is that? JOY: Who puts broccoli on pizza?
00:11:28,That's it. I'm done.
00:11:30,"Congratulations, San Francisco,"
00:11:32,you've ruined pizza!
00:11:33,First the Hawaiians
00:11:35,and now you!
00:11:37,What kind of a pizza place only serves one kind of pizza?
00:11:39,"MOM: Must be a San Francisco thing, huh?"
00:11:42,"Still, it's not as bad as that soup."
00:11:44,"At that diner in Nebraska. Oh, yeah."
00:11:46,The spoon stood up in the soup by itself!
00:11:48,RILEY: That was disgusting.
00:11:50,"JOY: Oh, good. Family is running."
00:11:51,RILEY: Dad's got a steel stomach.
00:11:53,"The drive out was pretty fun, huh?"
00:11:54,What was your favorite part?
00:11:56,Spitting out the car window!
00:11:57,Definitely not when Dad was singing.
00:11:59,Wearing a seat belt!
00:12:00,Oh! What about the time with the dinosaur?
00:12:02,"Oh, that's the one. Definitely!"
00:12:04,DAD: Say cheese!
00:12:05,Dad! Dad! Honey!
00:12:07,DAD: Now hold still. MOM: The car!
00:12:09,"Stop! No, no, no! (GRUNTING)"
00:12:11,(DAD GROANS)
00:12:12,"(LAUGHS) Nice one, Joy."
00:12:14,I liked that time at the dinosaur.
00:12:15,That was pretty funny. (MOM LAUGHING)
00:12:21,(GASPS)
00:12:24,Wait. What? What happened?
00:12:27,FEAR: She did something to the memory.
00:12:30,What did you do? I just touched it.
00:12:32,"That shouldn't make it change. Change it back, Joy!"
00:12:34,I'm trying. You can't change it back?
00:12:36,"No! I guess I can't! Good going, Sadness."
00:12:38,"Now when Riley thinks of that moment with Dad,"
00:12:39,she's gonna feel sad.
00:12:41,"Bravo. I'm sorry, Joy."
00:12:42,I don't really know...
00:12:44,I thought maybe if you...
00:12:45,(STAMMERING)
00:12:47,"Joy, we've got a stairway coming up."
00:12:51,Just don't touch any other memories
00:12:53,until we figure out what's going on.
00:12:54,Okay. JOY: All right.
00:12:56,Get ready. This is a monster railing
00:12:58,and we are riding it all the way down!
00:13:07,"Wait, what? What happened? (CLATTERING)"
00:13:10,(FEAR AND JOY GASP) A Core Memory!
00:13:11,"Oh, no!"
00:13:15,"Sadness, what are you doing?"
00:13:16,SADNESS: It looked like one was crooked
00:13:18,so I opened it and then it fell out.
00:13:20,I...
00:13:25,Whoo-hoo!
00:13:26,It's just that... I wanted to maybe hold one.
00:13:29,"FEAR: Joy! Whoa, whoa!"
00:13:33,"Sadness, you nearly touched a Core Memory."
00:13:35,"And when you touch them, we can't change them back."
00:13:38,I know. I'm sorry.
00:13:39,Something's wrong with me.
00:13:41,It's like I'm having a breakdown.
00:13:43,You're not having a breakdown. It's stress.
00:13:45,I keep making mistakes like that. I'm awful.
00:13:48,"No, you're not. And annoying."
00:13:50,(STUTTERING) You know what?
00:13:52,You can't focus on what's going wrong.
00:13:54,"There's always a way to turn things around,"
00:13:56,to find the fun.
00:13:57,Yeah. Find the fun.
00:14:00,I don't know how to do that.
00:14:01,"Okay. Well,"
00:14:02,try to think of something funny.
00:14:04,Um... Oh!
00:14:05,Remember the funny movie where the dog dies?
00:14:08,"Oh. Yeah, that's not..."
00:14:10,What about that time with Meg
00:14:12,when Riley laughed so hard
00:14:14,milk came out of her nose?
00:14:16,(LAUGHING)
00:14:18,Yeah. That hurt. It felt like fire.
00:14:21,"SADNESS: Ooh, it was awful."
00:14:23,"Okay, okay, don't think of that. Let's try something else."
00:14:24,"Uh, what are your favorite things to do?"
00:14:26,My favorite?
00:14:27,"Um... Well, I like it when we're outside."
00:14:30,That's good. Like there's the beach and sunshine.
00:14:33,Oh! Like that time
00:14:34,we buried Dad in the sand up to his neck.
00:14:36,SADNESS: I was thinking more like rain.
00:14:40,"Rain? Rain is my favorite, too!"
00:14:43,We can stomp around in puddles.
00:14:45,"JOY: You know, there's cool umbrellas, lightning storms."
00:14:48,SADNESS: More like when the rain runs down our back
00:14:50,and makes our shoes soggy.
00:14:52,"And we get all cold, shivery, and"
00:14:55,everything just starts feeling droopy. (CRYING)
00:14:58,"Oh, hey, hey. Hey, easy."
00:15:01,Why are you crying?
00:15:03,It's just like really the opposite of what we're going for here.
00:15:06,Crying helps me slow down and obsess
00:15:08,over the weight of life's problems.
00:15:11,(JOY SIGHS)
00:15:12,"You know what? Let's, uh,"
00:15:13,think about something else. (GRUNTS)
00:15:15,"How about we read some mind manuals, huh?"
00:15:17,Sounds fun. I've read most of them.
00:15:20,"Well, have you read this one? This seems interesting."
00:15:22,"""Long Term Memory Retrieval, Volume 47""?"
00:15:25,"No. Ooh, a real page-turner!"
00:15:27,"""Long Term Memory data selection"
00:15:29,"""via channel subgrouping""?"
00:15:31,"See? Fun already! Oh, you lucky dog."
00:15:34,You're reading these cool things.
00:15:35,I got to go work. Life is so unfair.
00:15:39,(SIGHS)
00:15:40,(BELL DINGS)
00:15:44,(GROANS)
00:15:47,DAD: What can we do? We've only got capital
00:15:48,"to last a month, maybe two."
00:15:51,"If we can't find investors by then,"
00:15:52,we're going to have to lay people off.
00:15:54,Mom! Dad!
00:15:56,Come kiss me good night!
00:15:57,DAD: I know. I know. MOM: Be right there!
00:15:59,"DAD: We've got to land this, okay?"
00:16:03,Did you hear Dad? He sounded really upset.
00:16:05,(VEHICLE PASSING) (GASPS)
00:16:07,(RUMBLING)
00:16:09,What was that? Was it a bear? It's a bear!
00:16:11,There are no bears in San Francisco.
00:16:12,I saw a really hairy guy. He looked like a bear.
00:16:14,"Oh, I'm so jumpy. My nerves are shot."
00:16:17,Ew! I don't want to hear about your nerves.
00:16:18,I'll tell you what it is. This move has been a bust.
00:16:21,FEAR: That's what I've been telling you guys!
00:16:23,There are at least 37 things for Riley to be scared of right now.
00:16:25,The smell alone is enough to make her gag.
00:16:27,ANGER: I can't believe Mom and Dad moved us here!
00:16:29,"Look, I get it. You guys have concerns."
00:16:31,But we've been through worse!
00:16:33,"Tell you what, let's make a list of all the things"
00:16:34,Riley should be happy about.
00:16:37,"Fine. Let's see, this house stinks, our room stinks."
00:16:39,Pizza is weird here. Our friends are back home.
00:16:41,And all of our stuff is in the missing van!
00:16:43,"Oh, come on. It could be worse."
00:16:45,"Yeah, Joy. We could be lying on the dirty floor. In a bag."
00:16:48,"Okay, I admit it, we had a rough start."
00:16:50,But think of all the good things that...
00:16:52,"No, Joy. There's absolutely no reason for Riley"
00:16:54,to be happy right now.
00:16:56,Let us handle this.
00:16:57,I say we skip school tomorrow
00:16:58,and lock ourselves in the bedroom.
00:17:00,"We have no clean clothes. I mean, no one should see us."
00:17:01,"Yeah, we could cry until we can't breathe."
00:17:03,We should lock the door and scream that curse word we know.
00:17:06,It's a good one! Now hold on!
00:17:08,"Look, we all have our off days."
00:17:10,"You know... Hi, honey."
00:17:12,The Mom bad news train is pulling in.
00:17:15,Toot-toot!
00:17:16,Still no moving van. (SCOFFS)
00:17:18,"Now they're saying it won't be here till Tuesday, can you believe it?"
00:17:21,Toot-toot-toot!
00:17:22,Where's Dad? On the phone.
00:17:24,This new venture is keeping him pretty busy.
00:17:26,I rest my case!
00:17:28,"MOM: Oh, your dad's a little stressed,"
00:17:29,"you know, about getting his new company up and running."
00:17:31,Now for a few well-placed withering scowls.
00:17:34,(SIGHS)
00:17:36,"I guess all I really want to say is, thank you."
00:17:39,"Huh? MOM: You know,"
00:17:40,through all this confusion you've stayed...
00:17:44,"(LAUGHS) Well, you've stayed our happy girl."
00:17:47,"MOM: Your dad's under a lot of pressure,"
00:17:49,"but if you and I can keep smiling,"
00:17:52,it would be a big help.
00:17:54,We can do that for him. Right?
00:17:57,Whoa.
00:17:59,JOY: Well.
00:18:01,"Yeah, sure."
00:18:03,What did we do to deserve you?
00:18:09,Sweet dreams. RILEY: Good night.
00:18:12,"Well, you can't argue with Mom. Happy it is."
00:18:14,Team Happy! Sounds great!
00:18:16,"Totally behind you, Joy."
00:18:19,Looks like we're going into REM.
00:18:20,"I got Dream Duty, so I'll take care"
00:18:22,of sending these to Long Term.
00:18:23,"JOY: Great day today, guys!"
00:18:25,"Oh, sleep well, Team Happy! (ALL TALKING AT ONCE)"
00:18:29,"All right, what's on tonight, Dream Production?"
00:18:31,(MUSIC PLAYING)
00:18:36,(TIRES SCREECHING)
00:18:37,"Well, this is it. The new place."
00:18:39,(THUNDER CRASHING)
00:18:40,(VOICES MOANING)
00:18:42,"Come live with me, Riley. (GRUNTS)"
00:18:45,Somebody order a broccoli pizza?
00:18:47,Eat me! I'm organic!
00:18:50,(SIGHS) No! Who is in charge of programming down there?
00:18:54,"I know I'm not supposed to do this, but..."
00:19:01,We are not going to end the day like this.
00:19:24,(RILEY LAUGHING)
00:19:47,Don't you worry.
00:19:48,I'm gonna make sure that tomorrow is another great day.
00:19:53,I promise.
00:19:55,(RILEY GIGGLES)
00:20:02,(ENERGETIC MUSIC PLAYING)
00:20:07,Hello! Did I wake you?
00:20:08,"ANGER: Do you have to play that? Well, I have to practice."
00:20:11,And I don't think of it as playing so much as hugging.
00:20:15,"Okay, first day of school!"
00:20:16,"Very, very exciting."
00:20:17,I was up late last night figuring out a new plan.
00:20:19,Here it is! Fear. (GASPS)
00:20:21,I need a list of all the possible
00:20:22,negative outcomes on the first day at a new school.
00:20:25,"Way ahead of you there. Does anyone know how to spell ""meteor""?"
00:20:27,Disgust. Make sure Riley stands out today.
00:20:29,But also blends in.
00:20:30,"When I'm through, Riley will look so good,"
00:20:32,the other kids will look at their own outfits and barf.
00:20:34,"""Joy."" ""Yes, Joy?"""
00:20:36,"""You'll be in charge of the console,"
00:20:37,"""keeping Riley happy all day long."
00:20:39,"""And may I add I love your dress? It's adorable."""
00:20:40,"""Oh, this old thing? Thank you so much."
00:20:42,"""I love the way it twirls."""
00:20:43,(TRAIN HORN BLOWS) Train of Thought! Right on schedule.
00:20:46,(TRAIN HONKS HORN)
00:20:48,Anger. Unload the daydreams.
00:20:50,I ordered extra in case things get slow in class.
00:20:52,It might come in handy. If this new school is full of
00:20:54,"boring, useless classes. Which it probably will be."
00:20:57,Oh. Sadness. I have a super important job just for you.
00:21:01,Really? Mmm-hmm. Follow me.
00:21:05,What are you doing? And there. Perfect!
00:21:08,This is the circle of Sadness.
00:21:10,Your job is to make sure that
00:21:12,all the Sadness stays inside of it.
00:21:15,So you want me to just stand here?
00:21:17,"Hey, it's not my place to tell you how to do your job."
00:21:20,Just make sure that all the Sadness
00:21:24,stays in the circle!
00:21:25,See? You're a pro at this! Isn't this fun?
00:21:28,No. Atta girl.
00:21:29,"All right, everyone, fresh start."
00:21:31,"We are gonna have a good day, which will turn into a good week,"
00:21:33,"which will turn into a good year,"
00:21:34,which turns into a good life!
00:21:36,"So, the big day! New school, new friends, huh?"
00:21:39,"I know! I'm kind of nervous, but I'm mostly excited."
00:21:41,How do I look? Do you like my shirt?
00:21:43,MOM: Very cute!
00:21:44,Are you gonna be okay? You want us to walk with you?
00:21:46,Mom and Dad? With us in public? No thank you.
00:21:49,Uh... I'm on it!
00:21:50,"Nope! I'm fine. Bye, Mom. Bye, Dad."
00:21:52,"Have a good day at school, monkey."
00:21:54,(IMITATING MONKEY GRUNTING)
00:21:59,"MOM: Have a great day, sweetheart!"
00:22:01,GIRL #1: That's crazy. It really is.
00:22:03,GIRL #2: That was so funny.
00:22:05,BOY: Do you know what basketball game is coming up?
00:22:08,FEAR: Are you sure we want to do this?
00:22:09,JOY: In we go! FEAR: Okay! Going in! Yes!
00:22:13,(INDISTINCT CONVERSATIONS)
00:22:16,GIRL: Did you see her? Hello!
00:22:17,"DISGUST: Okay, we've got a group of cool girls at two o'clock."
00:22:19,"How do you know? Double ears pierced,"
00:22:21,infinity scarf.
00:22:22,JOY: Whoa. Is she wearing eye shadow?
00:22:23,"Yeah, we want to be friends with them. Let's go talk to them!"
00:22:25,Are you kidding? We're not talking to them.
00:22:27,We want them to like us.
00:22:29,"Oh. Yeah. Wait, what?"
00:22:30,Almost finished with the potential disasters.
00:22:32,"Worst scenario is either quicksand,"
00:22:34,"spontaneous combustion,"
00:22:36,or getting called on by the teacher.
00:22:38,So as long as none of those happen...
00:22:39,"Okay, everybody. We have a new student in class today."
00:22:42,Are you kidding me? Out of the gate?
00:22:44,This is not happening!
00:22:45,"Riley, would you like to tell us something about yourself?"
00:22:48,No! Pretend we can't speak English.
00:22:50,Don't worry. I got this.
00:22:52,Uh... Okay.
00:22:54,My name is Riley Andersen.
00:22:56,I'm from Minnesota and now I live here.
00:23:01,TEACHER: And how about Minnesota?
00:23:04,Can you tell us something about it?
00:23:05,"Well, you certainly get a lot more snow than we do."
00:23:08,(LAUGHING)
00:23:10,She's hilarious!
00:23:13,"Yeah, it gets pretty cold."
00:23:15,"The lake freezes over,"
00:23:16,and that's when we play hockey.
00:23:17,I'm on a great team. We're called the Prairie Dogs.
00:23:20,My friend Meg plays forward. And my dad's the coach.
00:23:23,Pretty much everyone in my family skates.
00:23:26,It's kind of a family tradition.
00:23:27,We go out on the lake almost every weekend.
00:23:32,"Or we did, till I moved away."
00:23:35,"Hey, what gives? Wait, what?"
00:23:36,"Hey, Sadness! You touched a memory? We talked about this."
00:23:40,"Oh, yeah, I know. I'm sorry."
00:23:42,Get back in your circle. (SIGHS) What's going on?
00:23:45,"Why won't it eject? Get it out of there, Joy."
00:23:47,(SNIFFLING) We used to play tag and stuff.
00:23:49,Cool kids whispering at three o'clock!
00:23:51,"FEAR: Did you see that look? JOY: Oh, no."
00:23:52,They're judging us!
00:23:53,(ALL STRAINING)
00:23:55,JOY: Somebody help me! Grab that... Everybody put...
00:23:57,But everything's different now.
00:24:00,Since we moved.
00:24:03,(SNIFFLES)
00:24:04,"Oh, no! We're crying! At school!"
00:24:07,What? Sadness! What are you doing?
00:24:11,"Oh, no! Oh, I'm sorry!"
00:24:13,JOY: Huh?
00:24:14,FEAR: (GASPS) It's a Core Memory!
00:24:16,But it's blue.
00:24:18,(ALL GASP)
00:24:20,No! Wait! Stop it! No! Ah! No!
00:24:30,"Joy, no."
00:24:32,That's a Core Memory! Hey!
00:24:33,"Joy, wait! Stop it! Let go!"
00:24:35,FEAR: Ah! The Core Memories!
00:24:41,(EXCLAIMS)
00:24:46,(GASPS)
00:24:51,"No, no, no, no!"
00:24:56,Whoa! Whoa!
00:24:59,(FEAR GASPS)
00:25:06,"TEACHER: Thank you, Riley."
00:25:07,"I know it can be tough moving to a new place,"
00:25:10,but we're happy to have you here.
00:25:12,"All right, everyone, get out your history books"
00:25:15,and turn to chapter seven.
00:25:19,Can I say that curse word now?
00:25:21,(BOTH EXCLAIMING)
00:25:38,(SADNESS SCREAMING) Ah!
00:25:42,"Oh, no! One, two, three. Okay."
00:25:46,I got them. Where are we?
00:25:50,Long Term Memory? Wait...
00:25:59,Goofball Island?
00:26:02,SADNESS: Riley's Islands of Personality.
00:26:04,They're all down!
00:26:07,Oh! This is bad.
00:26:09,We... We can fix this!
00:26:11,"We just have to get back to Headquarters,"
00:26:13,"plug the Core Memories in,"
00:26:15,and Riley will be back to normal.
00:26:17,Riley has no Core Memories.
00:26:20,No Personality Islands and no...
00:26:22,(GASPS)
00:26:23,What? What is it?
00:26:24,You.
00:26:26,You're not in Headquarters.
00:26:27,"Without you, Riley can't be happy."
00:26:31,We got to get you back up there.
00:26:33,"I'm coming, Riley."
00:26:49,"So, as it turns out, the green trash can"
00:26:51,"is not recycling, it's for greens."
00:26:53,Like compost. And eggshells. Mmm.
00:26:55,And the blue one is recycling.
00:26:56,MOM: And the black one is trash. Riley is acting so weird.
00:26:58,Why is she acting so weird?
00:26:59,What do you expect? All the Islands are down.
00:27:02,Joy would know what to do.
00:27:03,That's it.
00:27:04,"Until she gets back, we just do what Joy would do!"
00:27:07,"Great idea. Anger, Fear, Disgust,"
00:27:10,how are we supposed to be happy?
00:27:12,"MOM: Hey, Riley. I've got good news!"
00:27:14,I found a junior hockey league right here in San Francisco.
00:27:17,And get this: Try-outs are tomorrow
00:27:19,"after school. What luck, right?"
00:27:21,Hockey? Uh-oh. What do we do?
00:27:22,"(STUTTERING) Guys, this is..."
00:27:24,You pretend to be Joy.
00:27:25,Won't it be great to be back out on the ice?
00:27:29,"Oh, yeah, that sounds fantastic."
00:27:32,What was that? That wasn't anything like Joy!
00:27:34,"Uh, because I'm not Joy. Yeah, no kidding."
00:27:39,Did you guys pick up on that?
00:27:40,Mmm-hmm. Something's wrong. Totally.
00:27:42,Should we ask her?
00:27:43,"Let's probe. But keep it subtle,"
00:27:45,so she doesn't notice.
00:27:47,"So, how was the first day of school?"
00:27:49,She's probing us.
00:27:50,I'm done. You pretend to be Joy.
00:27:51,"What? Okay. Um, hmm."
00:27:54,"It was fine, I guess. I don't know."
00:27:57,Oh. Very smooth. That was just like Joy.
00:28:00,Something is definitely going on.
00:28:02,She's never acted like this before. What should we do?
00:28:05,We're going to find out what's happening.
00:28:06,But we'll need support.
00:28:08,Signal the husband.
00:28:10,Ahem!
00:28:12,"ANNOUNCER: With a nice pass over to Reeves,"
00:28:15,comes across ...and nice!
00:28:16,(CLEARS THROAT)
00:28:19,"Uh-oh. She's looking at us. Uh, what did she say?"
00:28:23,"What? Oh! Sorry, sir. No one was listening."
00:28:26,Is it garbage night? We left the toilet seat up?
00:28:28,"What? What is it, woman? What?"
00:28:30,"Ugh, he's making that stupid face again."
00:28:32,MOM'S ANGER: I could strangle him right now.
00:28:34,Signal him again.
00:28:38,"Ah! So, Riley, how was school?"
00:28:41,You got to be kidding me! Seriously?
00:28:43,For this we gave up that Brazilian helicopter pilot?
00:28:46,Move! I'll be Joy.
00:28:48,"School was great, all right?"
00:28:50,Riley. Is everything okay?
00:28:52,Ugh!
00:28:53,"Sir, she just rolled her eyes at us."
00:28:55,What is her deal?
00:28:57,"All right, make a show of force."
00:28:58,"I don't want to have to put ""the foot"" down."
