time,line,translation
00:07:13,,멋진 친구도 멋진 집도 있지
00:07:14,She's got great friends and a great house.,
00:07:15,,더 좋을 수가 없지
00:07:16,Things couldn't be better.,
00:07:17,,"그렇게, 라일리는 이제 11살이야"
00:07:18,"After all, Riley's 11 now.",
00:07:20,,별 일 있겠어?
00:07:21,What could happen?,
00:07:22,,매각
00:07:23,,뭐...?
00:07:24,What... ALL: Aah!,
00:07:25,(JOY GASPS) (ALL EXCLAIM),
00:07:27,(TRUCK ENGINE STARTING),
00:07:29,,"좋아, 예상했던 건 아니네"
00:07:30,"Okay, not what I had in mind.",
00:07:32,(ALL SCREAMS),
00:07:33,(MUSIC PLAYING),
00:07:55,,"어이, 봐. 금문교야 멋지지 않아?"
00:07:56,"JOY: Hey, look! The Golden Gate Bridge!",
00:07:58,Isn't that great?,예상처럼 금으로 만든 건 아니라 실망스럽지만 그래도 멋져!
00:08:00,"It's not made out of solid gold like we thought,",
00:08:02,"which is kind of a disappointment, but still...",
00:08:03,,"지진은 미신이라고 말해줘서 난 기쁘다, 기쁨아"
00:08:04,"FEAR: I sure am glad you told me earthquakes are a myth, Joy.",
00:08:05,,안 그랬음 지금쯤 엄청 무서워했을거야
00:08:06,Otherwise I'd be terrified right now! (CHUCKLES),
00:08:08,,"어, 그래..."
00:08:09,"Uh, yeah...",
00:08:10,WOMAN: Are you kidding? Get out of the street!,
00:08:12,"(CARS HONKING) MAN: Oh, for Pete's sake! Move it!",딱 내 타입의 사람들이군
00:08:13,These are my kind of people. (CARS HONKING),
00:08:14,,"좋아, 몇 블록만 더"
00:08:15,"DAD: All right, just a few more blocks.",
00:08:16,,"새 집에 거의 다 왔다 - 더 밟으쇼, 아빠"
00:08:17,We're almost to our new house!,
00:08:18,"Step on it, Daddy!",그냥 냄새나는 차에서 살지 그래 평생 갇혀있는 것 같은데
00:08:19,Why don't we just live in this smelly car?,
00:08:21,We've already been in it forever.,그거야말로 정말 행운이지!
00:08:22,"Which, actually, was really lucky,",
00:08:23,,왜냐하면 우리 새 집이 어떨지 생각할 시간이 많아졌거든!
00:08:24,because that gave us plenty of time to think about,
00:08:26,what our new house is going to look like!,
00:08:27,,뭘까? 최고의 공상 5가지를 돌아보자구
00:08:28,What! Let's review the top five daydreams.,
00:08:30,,"우, 안전해 보여 - 멋진 것 같네"
00:08:31,Ooh! That looks safe! SADNESS: That one's nice.,
00:08:32,,"오, 이거 라일리한테 좋을 거야"
00:08:33,"Oh, this will be great for Riley!","아! 아니, 이것도"
00:08:34,"JOY: Oh, no, no, no, no, this one!","기쁨아, 마지막으로 말하는데 쿠키 안에선 못 살아"
00:08:36,"DISGUST: Oh, Joy, for the last time, she cannot live in a cookie.",
00:08:37,,바로 저거지 드래곤도 딸려와
00:08:38,ANGER: That's the one! It comes with a dragon.,
00:08:40,,거의 다 왔지? 느껴지는데
00:08:41,"JOY: Now we're getting close, I can feel it.",
00:08:43,,"여기다, 우리 새 집이야"
00:08:44,"Here it is, here's our new house.",
00:08:46,,그리고...
00:08:47,And...,
00:08:53,,아마 내부는 꽤 좋을지도...
00:08:54,Maybe it's nice on the inside.,
00:08:57,(DOOR CREAKING),
00:09:01,,우리 여기서 살아? - 그래야 해?
00:09:02,ANGER: We're supposed to live here? SADNESS: Do we have to?,정말로 여기서 뭔가 죽은 듯한 냄새가 나
00:09:03,"DISGUST: I'm telling you, it smells like something died in here.",
00:09:04,,"움직여도 죽을 수 있어? - 얘들아, 너무 오버하잖아"
00:09:06,Can you die from moving?,
00:09:07,"Guys, you're overreacting.",아무도 안 죽어 - 죽은 쥐다!
00:09:08,Nobody is dying...,
00:09:10,A dead mouse! (FEAR SCREAMS),대단하군 - 역겨워지려고 해
00:09:11,ANGER: Great. This is just great. DISGUST: I'm gonna be sick.,죽음의 집이야 어떡해야 해?
00:09:12,,광견병에 걸릴 거야! - 나한테서 떨어져!
00:09:13,It's the house of the dead! We're going to get rabies!,
00:09:14,Get off of me! (FEAR SCREAMING),
00:09:15,,"자, 자, 여기까지 오면서"
00:09:16,"Hey. All through the drive,",아빠가 우리 새 방이 얼마나 멋진지 말씀하셨잖아
00:09:17,Dad talked about how cool our new room is.,
00:09:18,,확인해 보자 - 정말 대단할 거야
00:09:19,(FEAR SIGHS) Let's go check it out!,
00:09:20,DISGUST: Let's go! ANGER: It's gonna be great!,"좋아, 좋아, 좋아..."
00:09:21,"FEAR: Yes, yes, yes.",
00:09:22,,"아냐, 아냐... - 죽은 쥐가 부러워지려고 해"
00:09:23,"No, no, no, no, no.",
00:09:24,DISGUST: I'm starting to envy the dead mouse.,당장 나가 홀로 갇힌 꼴이잖아
00:09:25,"ANGER: Get out the rubber ball,",
00:09:26,we're in solitary confinement.,"라일리는 여기서 못 살아 - 그래, 맞아"
00:09:28,Riley can't live here.,정말 안 좋아 - 이건 최악이야
00:09:29,She's right. It's the worst.,
00:09:30,FEAR: Really bad. DISGUST: It's absolutely the worst.,이 집 냄새나 - 최악이야
00:09:31,DISGUST: It's the worst place I've ever been in my entire life.,"내 일생에서 최악 - 아, 그래"
00:09:33,,나비 커튼이면 해결 못 할 것도 없지!
00:09:34,"Hey, it's nothing our butterfly curtains couldn't fix.",
00:09:35,,어디선가 빈 방은 기회라는 글을 읽었다구
00:09:37,I read somewhere that an empty room is an opportunity.,
00:09:38,,어디서 읽었는데? - 중요한 건 읽었는데 좋았단 거야
00:09:39,Where did you read that? It doesn't matter.,
00:09:40,I read it and it's great.,"침대는 저기, 책상은 저기 두고"
00:09:41,We'll put the bed there.,
00:09:43,JOY: And the desk over there.,하키 막대는 저기로
00:09:44,FEAR: The hockey lamp goes there.,"의자는 저기 두고 - 아, 트로피 전시도"
00:09:45,"ANGER: Uh, put the chair there.",
00:09:46,JOY: The trophy collection goes there.,저기랑... - 별!
00:09:48,FEAR: Stars! I like that!,맘에 든다 - 이제 얘기가 통하네
00:09:49,JOY: Now we're talking!,이삿짐차에서 우리 짐 빼 오자
00:09:51,Let's go get our stuff from the moving van!,
00:09:52,,"좋아요, 끊습니다 자, 있잖아?"
00:09:53,DAD: All right. Goodbye.,
00:09:54,"Well, guess what?",이삿짐차가 다음주 목요일까진 안 온대
00:09:55,The moving van won't be here until Thursday.,
00:09:56,,농담이지?
00:09:57,You're kidding. Mmm-hmm.,
00:09:58,,짐차가 없어? 정말 최악의 날이야
00:09:59,The van is lost? It is the worst day ever!,
00:10:01,DISGUST: That figures. The van is lost.,
00:10:02,,어젠 올 거라면서요 - 그런 줄 알았지
00:10:03,You said it would be here yesterday!,
00:10:04,I know that's what I said. That's what they told me!,그렇게 들었으니까 - 엄마 아빠가 화났다!
00:10:06,FEAR: Mom and Dad are stressed out!,화나서 싸워! - 어떡해야 하지?
00:10:07,ANGER: They're stressed out? FEAR: What are we going to do?,
00:10:09,(ALL TALKING AT ONCE) I've got a great idea!,좋은 생각이 있어!
00:10:11,,계약서 읽긴 했어요?
00:10:12,Did you even read the contract?,
00:10:13,,앤더슨이 접근합니다 비집고 들어옵니다!
00:10:14,Andersen makes her move. She's closing in!,
00:10:16,Hey! (LAUGHS),"헤이, 오 그렇겐 안 되지"
00:10:18,"DAD: Oh, no, you're not!","득점을 노립니다! - 쫓아간다, 조심해!"
00:10:19,She's lining up for the shot!,
00:10:20,DAD: Coming behind you.,"득점합니다, 예!"
00:10:21,DAD: Watch out! Watch out! She shoots and she scores!,
00:10:23,Yeah! (ALL CHEERING),
00:10:25,"Come on, Grandma! Ha!","어서요, 할머니"
00:10:26,,"하, 할머니?"
00:10:28,"""Grandma""?","오, 머리 묶으신다 제대로 해 보자"
00:10:29,"Uh-oh, she put her hair up, we're in for it!",
00:10:31,Whoo!,"이봐요, 내려 줘요!"
00:10:32,"Hey, put me down! (DAD LAUGHING)",
00:10:34,(ALL LAUGHING),
00:10:35,(BELL DINGS),
00:10:37,(CELL PHONE RINGING) Ah! Sorry.,
00:10:38,,"미안, 잠깐만"
00:10:39,Hold on. Hold on.,
00:10:41,Hello? Wait. Wh...,여보세요 - 잠깐만
00:10:42,,농담이시죠
00:10:43,DAD: You're kidding.,
00:10:45,(SIGHS) All right. Stall for me.,"좋아요, 잠시만요 금방 갈게요"
00:10:47,I'll be right there.,투자자들은 오늘이 아니라 목요일에 오기로 했는데
00:10:48,"The investor's supposed to show up on Thursday,",
00:10:50,not today!,
00:10:51,(SIGHS) I got to go.,"가야겠어 - 괜찮아요, 이해해요"
00:10:53,It's okay. We get it.,"당신이 최고야 고마워, 자기"
00:10:54,"You're the best. Thanks, hon.",
00:10:55,,"이따 보자, 얘야"
00:10:56,"See you, sweetie.",
00:10:58,,아빠가 우릴 떠났어
00:10:59,FEAR: Dad just left us.,"우릴 더 이상 사랑하지 않아, 슬프군"
00:11:00,He doesn't love us anymore.,
00:11:02,That's sad.,"내가 맡아야겠지, 응?"
00:11:03,"I should drive, right?",
00:11:04,,"기쁨아, 뭐 하는 거야?"
00:11:05,Joy?,
00:11:07,What are you doing?,"잠깐, 잠깐만 기다려봐"
00:11:08,"Uh, just give me one second.",
00:11:10,"Um, you know what I've realized?","막 생각난 게 있는데 라일리 점심 안 먹었지, 기억나?"
00:11:12,Riley hasn't had lunch! Remember?,
00:11:16,,"저, 거리에서 피자 가게를 봤는데 거기서 먹을까요?"
00:11:17,"Hey, I saw a pizza place down the street.",
00:11:19,Maybe we could try that?,피자 맛있지 - 피자!
00:11:20,Pizza sounds delicious.,
00:11:21,,"그래, 피자 - 좋은 생각이야, 그렇게 하지"
00:11:22,Pizza? That's good. Yes! Pizza!,
00:11:25,,이게 대체 뭐야? - 누가 피자에 브로콜리를 넣어?
00:11:26,FEAR: What the heck is that? JOY: Who puts broccoli on pizza?,
00:11:27,,"됐어, 나 안 먹어"
00:11:28,That's it. I'm done.,
00:11:29,,"축하합니다, 샌 프란시스코 피자를 아주 망쳐놓으셨군!"
00:11:30,"Congratulations, San Francisco,",
00:11:32,you've ruined pizza!,처음엔 하와이언이더니 이젠 당신들이야!
00:11:33,First the Hawaiians,
00:11:35,and now you!,
00:11:36,,무슨 피자 가게에 피자가 한 종류뿐이야
00:11:37,What kind of a pizza place only serves one kind of pizza?,
00:11:39,"MOM: Must be a San Francisco thing, huh?",샌 프란시스코는 그런가보지
00:11:41,,네브라스카에서 저녁으로 먹은 수프만큼 나쁘진 않네
00:11:42,"Still, it's not as bad as that soup.",
00:11:44,"At that diner in Nebraska. Oh, yeah.","예, 수저가 수프에 막 꽂히더라고요"
00:11:46,The spoon stood up in the soup by itself!,
00:11:48,RILEY: That was disgusting.,
00:11:49,,"좋아, 가족다워지고 있어"
00:11:50,"JOY: Oh, good. Family is running.",
00:11:51,RILEY: Dad's got a steel stomach.,
00:11:52,,드라이브도 정말 좋았었지 뭐가 제일 좋았었니?
00:11:53,"The drive out was pretty fun, huh?",
00:11:54,What was your favorite part?,
00:11:55,,차 창문 밖으로 침뱉기!
00:11:56,Spitting out the car window!,아빠가 노래할 때는 아니고 - 안전벨트 매기!
00:11:57,Definitely not when Dad was singing.,
00:11:59,Wearing a seat belt!,"오, 공룡 있던 그 때는 어때?"
00:12:00,Oh! What about the time with the dinosaur?,
00:12:01,,"아, 그거 - 정말 좋았지"
00:12:02,"Oh, that's the one. Definitely!",
00:12:03,,치즈 하세요
00:12:04,DAD: Say cheese!,"아빠, 아빠 - 여보"
00:12:05,Dad! Dad! Honey!,
00:12:06,,"아빠, 차 보세요 바로 뒤 보라구요!"
00:12:07,DAD: Now hold still. MOM: The car!,
00:12:08,,"안 돼, 안 돼..."
00:12:09,"Stop! No, no, no! (GRUNTING)",
00:12:11,(DAD GROANS),
00:12:12,"(LAUGHS) Nice one, Joy.","좋았어, 기쁨아"
00:12:13,,공룡 보던 때가 좋았어요 정말 재밌었죠
00:12:14,I liked that time at the dinosaur.,
00:12:15,That was pretty funny. (MOM LAUGHING),
00:12:21,(GASPS),
00:12:23,,"잠깐, 뭐야 무슨 일이야?"
00:12:24,Wait. What? What happened?,
00:12:26,,기억에 무슨 짓을 했어
00:12:27,FEAR: She did something to the memory.,
00:12:29,,뭘 한 거야? - 그-그냥 만졌어
00:12:30,What did you do? I just touched it.,
00:12:31,,"바뀌면 안 되는 건데 - 오, 되돌려 놔. 기쁨아"
00:12:32,"That shouldn't make it change. Change it back, Joy!",
00:12:33,,노력중이야! - 못 되돌려?
00:12:34,I'm trying. You can't change it back?,"응, 안 되나봐 - 잘 한다, 슬픔아"
00:12:36,"No! I guess I can't! Good going, Sadness.",
00:12:37,,"이제 라일리가 아빠랑 있던 때 생각하면 슬퍼하겠네, 브라보"
00:12:38,"Now when Riley thinks of that moment with Dad,",
00:12:39,she's gonna feel sad.,
00:12:40,,"미안, 기쁨아 정말로 몰랐어"
00:12:41,"Bravo. I'm sorry, Joy.",
00:12:42,I don't really know...,
00:12:43,,"만약 너라면, 너라면 그러니까..."
00:12:44,I thought maybe if you...,
00:12:45,(STAMMERING),
00:12:46,,"기쁨아, 계단이 가까워진다"
00:12:47,"Joy, we've got a stairway coming up.",
00:12:50,,무슨 일인지 알기 전까진 다른 기억 만지지 마
00:12:51,Just don't touch any other memories,
00:12:53,until we figure out what's going on.,그래 - 좋아!
00:12:54,Okay. JOY: All right.,"조심해, 난간 괴물이야 타고 내려갈 거야!"
00:12:56,Get ready. This is a monster railing,
00:12:58,and we are riding it all the way down!,
00:13:06,,"잠깐, 뭐 무슨 일이야?"
00:13:07,"Wait, what? What happened? (CLATTERING)",
00:13:09,,"핵심 기억이다! - 오, 안 돼"
00:13:10,(FEAR AND JOY GASP) A Core Memory!,
00:13:11,"Oh, no!",
00:13:14,,"슬픔아, 뭐 하는 거야? - 하나가 이상해진 것 같아서..."
00:13:15,"Sadness, what are you doing?",
00:13:16,SADNESS: It looked like one was crooked,열어 봤는데 그게 떨어지더니...
00:13:18,so I opened it and then it fell out.,
00:13:20,I...,
00:13:25,Whoo-hoo!,
00:13:26,It's just that... I wanted to maybe hold one.,그냥 하나 만지고 싶어서
00:13:29,"FEAR: Joy! Whoa, whoa!",기쁨아!
00:13:32,,"슬픔아, 핵심 기억을 만질 뻔 했잖아"
00:13:33,"Sadness, you nearly touched a Core Memory.",
00:13:34,,네가 만지면 다시 되돌릴 수가 없다구
00:13:35,"And when you touch them, we can't change them back.",
00:13:36,,"알아, 미안해 내가 좀 이상해졌나 봐"
00:13:38,I know. I'm sorry.,
00:13:39,Something's wrong with me.,그냥 내가 좀 어떻게 됐나 봐
00:13:41,It's like I'm having a breakdown.,
00:13:42,,그런 게 아냐 그냥 스트레스야
00:13:43,You're not having a breakdown. It's stress.,
00:13:44,,계속 이런 실수를 하잖아 난 끔찍해
00:13:45,I keep making mistakes like that. I'm awful.,
00:13:47,,"아니, 아니야 - 그리고 짜증나지"
00:13:48,"No, you're not. And annoying.",
00:13:49,,"그건, 어... 그 있잖아"
00:13:50,(STUTTERING) You know what?,
00:13:51,,잘못된 일만 신경쓰지는 마
00:13:52,You can't focus on what's going wrong.,
00:13:53,,늘 되돌릴 방법은 있으니까!
00:13:54,"There's always a way to turn things around,",
00:13:55,,재미있어지게!
00:13:56,to find the fun.,"그래, 재밌어지게 어떻게 하는지 모르겠어"
00:13:57,Yeah. Find the fun.,
00:14:00,I don't know how to do that.,"좋아, 음 재밌는 걸 생각해 보자"
00:14:01,"Okay. Well,",
00:14:02,try to think of something funny.,
00:14:04,Um... Oh!,"오, 개가 죽었던 재밌는 영화 기억나?"
00:14:05,Remember the funny movie where the dog dies?,
00:14:07,,"아, 그래 그거 말고..."
00:14:08,"Oh. Yeah, that's not...",
00:14:09,,이건 어때 매그랑 같이
00:14:10,What about that time with Meg,
00:14:11,,라일리가 너무 웃어서 코로 우유를 뿜었을 때!
00:14:12,when Riley laughed so hard,
00:14:14,milk came out of her nose?,
00:14:16,(LAUGHING),정말...
00:14:17,,"그래, 아팠지 불붙은 것 같았어"
00:14:18,Yeah. That hurt. It felt like fire.,
00:14:20,,"정말 끔찍... - 좋아, 좋아"
00:14:21,"SADNESS: Ooh, it was awful.",
00:14:22,,그거 말고 다른 거 생각해보자
00:14:23,"Okay, okay, don't think of that. Let's try something else.",
00:14:24,"Uh, what are your favorite things to do?",가장 좋아하는 일이 뭐야? - 가장 좋아하는 거?
00:14:26,My favorite?,
00:14:27,"Um... Well, I like it when we're outside.","음, 외출할 때가 좋아"
00:14:29,,좋아! 해변도 있고 햇살도 내리쬐고
00:14:30,That's good. Like there's the beach and sunshine.,
00:14:32,,"아, 아빠를 모래로 목까지 묻었던 때라던가"
00:14:33,Oh! Like that time,
00:14:34,we buried Dad in the sand up to his neck.,
00:14:35,,비 올 때 같은 걸 생각중이었는데
00:14:36,SADNESS: I was thinking more like rain.,
00:14:39,,비... 비도 엄청 좋아하지!
00:14:40,"Rain? Rain is my favorite, too!",
00:14:42,,웅덩이에서 물장구도 치고
00:14:43,We can stomp around in puddles.,
00:14:44,,"있잖아, 멋진 우산이랑 천둥 번개도 있고"
00:14:45,"JOY: You know, there's cool umbrellas, lightning storms.",
00:14:47,,비가 심하게 와서 신발이 질척거린다던가
00:14:48,SADNESS: More like when the rain runs down our back,
00:14:50,and makes our shoes soggy.,
00:14:51,,춥고 덜덜 떨고 모든게 다 우울해 보이는 거야
00:14:52,"And we get all cold, shivery, and",
00:14:55,everything just starts feeling droopy. (CRYING),
00:14:57,,"이런, 자. 자. 그만"
00:14:58,"Oh, hey, hey. Hey, easy.",
00:15:00,,왜 우는 거야?
00:15:01,Why are you crying?,
00:15:02,,우리 목적이랑 완전히 반대잖아
00:15:03,It's just like really the opposite of what we're going for here.,
00:15:05,,울음은 일생의 문제에 너무 얽매이지 않고 진정하도록 도와줘
00:15:06,Crying helps me slow down and obsess,
00:15:08,over the weight of life's problems.,
00:15:11,(JOY SIGHS),"있잖아, 다른 생각 해 보자"
00:15:12,"You know what? Let's, uh,",
00:15:13,think about something else. (GRUNTS),
00:15:14,,감정 설명서를 읽는 건 어때 재밌겠지!
00:15:15,"How about we read some mind manuals, huh?",
00:15:17,Sounds fun. I've read most of them.,대부분은 읽었어
00:15:19,,이건 읽어 봤니 재밌어 보이는데!
00:15:20,"Well, have you read this one? This seems interesting.",
00:15:21,,장기 기억 회상 47권
00:15:22,"""Long Term Memory Retrieval, Volume 47""?",
00:15:24,,"아니 - 우, 진짜 재미있어"
00:15:25,"No. Ooh, a real page-turner!",
00:15:26,,냉철한 장기 기억 자료 선정?
00:15:27,"""Long Term Memory data selection",
00:15:29,"""via channel subgrouping""?",
00:15:30,,"봐, 벌써 재밌지! 운 좋은 친구 같으니!"
00:15:31,"See? Fun already! Oh, you lucky dog.",
00:15:33,,"넌 이런 멋진 걸 읽는데 난 일하러 가야겠네, 불공평해라"
