time,line,translation,
728 ,He's the Keeper of the Runners.,러너들을 이끌지,
731 ,"Every morning, when those doors open, they run the maze...mapping it, memorizing it, trying to find a way out.",아침마다 문이 열리면 쟤들이 미로 안을 뛰면서 구조를 외우고 지도를 만들며 나갈 길을 찾아,
738 ,How long have they been looking?,얼마동안 그랬는데?,
741 ,Three years.,3년,
744 ,And they haven't found anything?,근데 아직도 못 찾았어?,
748 ,It's a lot easier said than done.,말처럼 쉬운 게 아냐,
751 ,Listen.,들어봐,
758 ,Hear that?,들려?,
759 ,"It's the maze, changing.",미로의 구조가 바뀌는 소리야,
762 ,It changes every night.,매일밤 바뀌지,
765 ,How is that even possible?,그게 어떻게 가능해?,
769 ,"You can ask the people who put us in here, if you ever meet the bastards.",우릴 여기 보낸 놈들한테 물어봐 만나게 된다면!,
773 ,"Listen, the truth is...the runners are the only ones who really know what's out there.",솔직히 말해서 밖에 뭐가 있는지 아는 건 러너들뿐이야,
782 ,"They are the strongest and the fastest of us all. And it's a good thing, too... because if they don't make it back before those doors close...then they are stuck out there for the night.",우리들 중에 가장 강하고 빠른데 다행인 거지. 왜냐면 문이 닫히기 전에 못 돌아오면 미로에서 밤을 보내야 하는데,
789 ,And no one has ever survived a night in the maze.,밤중에 미로 안에서 살아남은 사람 없어,
794 ,What happens to them?,어떻게 되는데?,
801 ,"Well, we call them Grievers.",일명 '그리버'란 괴물들,
807 ,"Of course, no one's ever seen one and lived to tell about it.",물론 놈들을 만났다가 살아돌아온 애는 없지,
813 ,But they're out there.,그 괴물들이 저곳에 있어,
817 ,"Right, that's enough questions for one night.","됐어, 오늘밤은 그쯤만 알아두라구",
824 ,Come on. You're supposed to be the guest of honor.,널 위한 파티잖아,
830 ,Let me show you around.,따라와 구경시켜줄게,
832 ,Come on.,어서,
838 ,And there we got the builders.,쟤들은 건축팀이야,
839 ,They're very good with their hands but not a lot going on upstairs.,손재주는 좋지만 좀 덜떨어진 애들,
843 ,And then we got Winston he's the Keeper of the Slicers.,그리고 쟨 윈스턴인데 도살팀 대장이야,
848 ,"And we got two med-jacks, Clint and Jeff.",그리고 치료팀 클린트와 제프,
850 ,"Hey, what's up?",재밌냐?,
850 ,"Yo, Newt.","안녕, 뉴트",
852 ,They spend most of their time bandaging up the slicers.,도살팀 애들이 단골 손님이지,
855 ,What if I want to be a runner?,러너가 되려면 어떡해야 돼?,
857 ,Have you listened to a word I've just said? No one wants to be a runner.,내 말 안듣고 뭐했어? 러너가 되고 싶어하는 사람은 없어,
861 ,"And, besides, you gotta get chosen.",게다가 선택받아야 하고,
863 ,Chosen by who?,누가 선택하는데?,
866 ,"What do you say, Greenie?","어때, 신참?",
872 ,Wanna see what you're made of?,실력 좀 볼까?,
874 ,Greenie! Greenie! Greenie!,"신참, 신참, 신참",
891 ,Okay. All right.,"좋아, 알았어",
897 ,"The rules are simple, Greenie.","룰은 간단해, 신참",
900 ,I try to push you out of the circle...,원 밖으로 밀려나지 말고,
901 ,you try to last more than five seconds.,딱 5초만 버텨봐,
904 ,Take it easy on the Greenie.,살살 다뤄줘,
904 ,Ready?,준비됐냐?,
913 ,"Get up, boy.",잽싸게 일어나,
914 ,"Come on, Greenie. We're not done yet.","일어나, 신참 아직 끝난 게 아냐",
917 ,Stop calling me Greenie.,신참이라고 부르지 마,
920 ,Stop calling you that? What do you wanna be called? Shank?,"왜, 싫어? 그럼 뭐라고 불러줄까? 초짜?",
927 ,"What do you think, boys? Does he look like a Shank?","어때, 얘들아? 초짜처럼 생기지 않았냐?",
937 ,Come on!,일어나,
939 ,You know what? I think I've settled on Shank.,좋아 초짜라고 불러주지,
952 ,"There you go, Greenie!","잘한다, 신참",
954 ,"Not bad for a Greenie, huh?",신참치곤 제법이지?,
964 ,Thomas.,토마스,
969 ,Thomas. Hey!,토마스야,
972 ,Thomas!,토마스!,
976 ,I remember my name. I'm Thomas!,내 이름이 기억났어 난 토마스야,
979 ,Thomas!,토마스!,
986 ,"Welcome home, Thomas.","환영한다, 토마스",
993 ,Good job... Thomas.,"잘했어, 토마스",
1005 ,What the hell was that?,무슨 소리지?,
1012 ,"That, my friend, was a Griever.","저게 뭐냐면, 친구 그리버야",
1017 ,"Don't worry, you're safe here with us.",걱정하지 마 여긴 안전해,
1021 ,Nothing gets through those walls.,저 벽을 넘어오진 못해,
1024 ,"All right, guys.",좋아,
1026 ,Let's tuck it in for the night. Come on.,이제 그만 자자구 다 돌아가,
1028 ,It was a good night.,재밌게 놀았잖아,
1029 ,"Good job, man.",잘 싸웠어,
1032 ,You're safe here with us.,여긴 안전해,
1063 ,Wicked is good.,위키드는 좋은 일을 하는거야,
1065 ,What's out there?,저 밖에 뭐가 있지?,
1065 ,"Thomas, Thomas.","토마스, 토마스",
1068 ,Can you hear me?,내 말 들려?,
1072 ,Everything is going to change.,모든 게 바뀔 거야,
1075 ,Thomas.,토마스,
1080 ,Follow me.,따라와,
1086 ,"It's peaceful, isn't it?",참 평화롭지?,
1094 ,"I know it's hard to believe, but it wasn't always this way. We had dark days.",믿기 힘들겠지만 항상 이렇진 않았어. 힘든 시기가 있었지,
1102 ,We lost a lot of boys to fear. To panic.,많은 친구들이 공포와 두려움 속에 죽어갔고...,
1107 ,We've come far since then.,이후로 많이 달라졌어,
1111 ,Established order... made peace.,질서를 세우고 평화를 이뤘지,
1116 ,Yeah. Why are you telling me this?,왜 나한테 그런 얘길 하는 거야?,
1120 ,Because you're not like the others.,왜냐면 넌 남들과 다르니까,
1122 ,You're curious.,호기심이 많지,
1126 ,But you're one of us now.,하지만 지금은 우리 일원이야,
1128 ,You need to know what that means.,그게 뭘 뜻하는지 알아야 돼,
1132 ,What happened to them?,이들은 어떻게 됐지?,
1156 ,Like I said...,말했잖아,
1158 ,"dark days, Thomas.",힘든 시기가 있었어 토마스,
1161 ,Has anyone tried climbing to the top?,벽 꼭대기까지 올라가봤어?,
1177 ,Tried it. The ivy doesn't go all the way to the top.,시도는 해봤지 담쟁이덩굴이 거기까지 안 자라,
1182 ,"And besides, where are you gonna go from there?",또 올라가봐야 어디로 가겠어?,
1184 ,"And what about the Box? You know, next time it comes up...",박스는? 다음에 그게 올라오면...,
1186 ,"No, we tried that.",그것도 해봤는데,
1189 ,The Box won't go back down with someone in it.,사람이 타면 내려가질 않아,
1191 ,"Okay, what if we...",그럼...,
1191 ,"No, we tried it, all right? Twice.","해봤다구, 알았어? 두 번이나!",
1195 ,"All right? Trust me. Anything you think of, we've already tried.","네가 생각해낼 수 있는 것들, 다 해봤어",
1200 ,The only way out of here is through the maze.,유일한 탈출구는 미로뿐이야,
1204 ,"Now, look, you wanna be helpful?",도움이 되고 싶어?,
1207 ,Here. Go dig us up some more fertilizer.,"그럼, 자... 가서 비료나 퍼와",
1212 ,"""Just get the fertilizer, Thomas.""","'비료나 퍼와, 토마스'",
1223 ,"""Are you sure, guys? I can't help in any other way?""",'다른 도울 일은 없어?',
1226 ,"""No, just get the fertilizer.","'됐고, 비료나 퍼와'",
1228 ,"""You know where it is. It's just out in the middle of the woods.""",'어디 있는지 알지? 숲 한가운데야',
1277 ,"You're Ben, right?","너, 벤이지?",
1279 ,I don't know if we ever...,정식으로 인사는...,
1281 ,Are you okay?,괜찮아?,
1287 ,Get the hell off me!,저리 가!,
1289 ,It's your fault.,다 네 잘못이야,
1291 ,I saw you.,널 봤어,
1293 ,You did this.,네가 우릴 이랬어,
1294 ,I saw you!,널 봤어!,
1303 ,Hey! Hey!,도와줘!,
1331 ,Help! Help!,도와줘! 도와줘!,
1333 ,Help!,도와줘!,
1336 ,I'll kill you!,죽여버리겠어!,
1345 ,Hold him down.,못 일어나게 해,
1349 ,What are you doing?,왜 이래?,
1351 ,"Calm down, Ben.","진정해, 벤",
1352 ,What the hell happened?,어떻게 된 거야?,
1353 ,He just attacked me!,갑자기 날 공격했어,
1353 ,Are you okay?,괜찮아?,
1357 ,"Calm down, Ben.","진정해, 벤",
1358 ,No. No.,"안돼, 안돼",
1363 ,"All right, lift his shirt.",셔츠 올려봐,
1367 ,No! No! Please. Please.,"안돼, 안돼 제발...",
1371 ,He's been stung.,그리버한테 찔렸어,
1374 ,In the middle of the day?,이 대낮에?,
1377 ,"Help me, please.",살려줘,
1384 ,Put him in the pit.,구덩이에 넣어,
1385 ,"Everybody, help. Take him to the pit.",전부 도와 구덩이로 데려가,
1387 ,No! - Med-jack!,안돼!  치료팀!,
1388 ,Please don't do it!,안돼 그러지마!,
1390 ,"Calm down, Ben.","진정해, 벤",
1392 ,"Back down, Ben.",가만있어,
1393 ,Listen to me! Please!,내 말을 들어봐 제발!,
1398 ,"Please, stop, please!","이러지 마, 제발!",
1401 ,He did this!,그놈 때문이야!,
1402 ,"Please stop! No! No, please! Help me!","이러지 마 놔달란 말야, 제발!",
1405 ,So what happened to him?,벤이 왜 그렇게 됐지?,
1407 ,"It's called ""The Changing.""",변하는 과정이야,
1413 ,It's what happens when someone gets stung.,그리버한테 찔리면 그렇게 돼,
1417 ,Listen.,잘 들어,
1420 ,We haven't been able to get a clear word out of Ben since it happened. He's not making any sense. And it's only gonna get worse.,벤이 찔린 후로 이상해졌어. 이해할 수 없는 헛소리만 해대고 점점 더 심해지겠지,
1435 ,The infection is spreading. He's dangerous.,감염이 퍼질 텐데 그냥 두면 위험해,
1439 ,What did he say to you?,녀석이 너한테 뭐랬어?,
1444 ,He said he saw me...,날 봤다고 했어,
1453 ,and that this was all my fault.,이게 전부 내 잘못이라면서,
1455 ,How could this be my fault?,이게 어떻게 내 잘못이야?,
1460 ,Get some rest.,좀 쉬어,
1467 ,Alby?,알비?,
1470 ,What's gonna happen to him?,벤은 어떻게 돼?,
1473 ,"Just listen to me. Just, please, listen to me!",좀 들어봐 제발 내 말을 들어보라구,
1492 ,"Please, Minho!","제발, 민호",
1495 ,Alby!,알비!,
1518 ,"No, please. Please, don't.","안돼, 안돼 제발 부탁이야",
1526 ,"Please, don't do it.",제발 이러지 마,
1542 ,Poles!,장대!,
1552 ,Move in!,앞으로!,
1556 ,"No, no, no! Please!","안돼, 안돼 제발!",
1559 ,"No, please! Please, don't!",제발 이러지 마 살려줘!,
1562 ,"I can get better! Please, just listen to me!",금방 나을 거야 제발 내 말을 들어봐,
1565 ,"Please, stop, please!",제발 이러지 마,
1567 ,Push him in!,밀어넣어,
1570 ,Stop!,그만!,
1572 ,I'll get better!,"나, 나을 거야!",
1586 ,He belongs to the maze now.,이젠 미로가 녀석의 집이야,
1611 ,Do you think he might make it?,저기서 살 수 있을까?,
1652 ,Ben?,벤?,
1656 ,No.,아니,
1659 ,No one survives a night in the maze.,아무도 밤에는 미로에서 살아남진 못해,
1663 ,We just gotta forget about him.,이제 그냥 잊어버려,
1704 ,Don't make it easy on them.,그들을 더 힘들게 만들어,
1705 ,Thomas.,토마스,
1709 ,Everything is going to change.,모든 게 바뀔 거야,
1712 ,Wicked is good.,위키드는 좋은 일을 하는거야,
1715 ,This is gonna hurt a little.,조금 아플 거다,
1719 ,Wicked is good.,위키드는 좋은 일을 하는거야,
1723 ,"Thomas, you have to choose.","토마스, 선택해야 돼",
1730 ,But why would Alby go into the maze?,왜 알비가 미로에 들어가?,
1756 ,"I mean, he's not a runner.",러너가 아니잖아,
1758 ,Things are different now.,상황이 달라졌어,
1760 ,Alby went to retrace Ben's footsteps before sundown.,벤이 갔던 곳을 확인하러 들어간 거야,
1763 ,Are you gonna help?,안 도울 거야?,
1764 ,So he's gonna go back to where Ben was just stung...,그러니까 벤이 찔린 곳에 가서...,
1766 ,Alby knows what he's doing all right?,알비한테 맡겨둬. 알았어?,
1769 ,He knows better than any of us.,우리 누구보다도 잘 아니까,
1771 ,What does that mean?,무슨 뜻이야?,
1774 ,"Well, it's like you have heard, yeah? Every month, the Box sends up a new arrival.",너도 들었겠지만 매달 신참이 박스에 담겨서 와.,
1783 ,"But someone had to be first, right? Someone had to have spent a whole month in the Glade, alone.",하지만 맨 처음에 온 사람은 글레이드에서 한달을 혼자 지내야 했지,
1790 ,That was Alby.,그게 알비였어,
1794 ,"I mean, it can't have been easy.",쉽지 않았겠지만,
1797 ,"But when those other boys started coming up, one after the other... he saw the truth.",이후로 다른 애들이 줄줄이 왔고 알비는 진실을 봤어,
1802 ,And he learned that the most important thing...is that we all have each other.,가장 중요한 게 뭔지를 깨달은 거지. 힘을 합쳐야 살아남는다는 거...,
1807 ,Because we're all in this together.,우린 다 한배를 탔으니까,
1811 ,Yeah.,그래,
1831 ,"There you go, Greenie.","잘하네, 신참",
1841 ,They should be back by now.,지금쯤은 돌아왔어야 했어,
1859 ,What happens if they don't make it?,못 돌아오면 어떻게 돼?,
1862 ,They're gonna make it.,돌아올 거야,
1864 ,What happens if they don't?,못 돌아오면?,
1868 ,They're gonna make it.,반드시 돌아올 거야,
1871 ,"Come on, guys, can't we send someone after them?",누굴 보내서 찾아보면 안돼?,
1906 ,That's against the rules.,그건 룰에 어긋나,
1908 ,Either they make it back or they don't.,스스로 알아서 돌아와야 하지,
1911 ,We can't risk losing anyone else.,다른 애들까지 잃을 순 없으니까,
1920 ,"Oh, no.",안돼...,
1928 ,There!,저기!,
1932 ,"Wait, something's wrong.",뭔가 잘못됐어,
1937 ,"Come on, Minho, you can do it!","힘내, 민호!",
1939 ,Come on! Go!,빨리 와!,
1941 ,"Come on, you can make it!",해낼 수 있어!,
1945 ,"Minho, you gotta leave him!","민호, 알비를 버려!",
1946 ,They're not gonna make it.,둘 다 죽겠어,
1948 ,You gotta leave him!,알비를 두고 와!,
1957 ,"Thomas, no!","토마스, 안돼!",
1978 ,Good job.,참 잘했네,
1986 ,You just killed yourself.,너도 이제 죽은 목숨이야,
1990 ,What?,뭐라구?,
2000 ,What happened to him?,어떻게 된 거야?,
2008 ,What does it look like?,보면 몰라?,
2010 ,He got stung.,찔렸어,
2013 ,What happened to his head?,이마는 왜 이래?,
2016 ,I did what I had to do.,내가 할 일을 했을 뿐이야,
2030 ,"Okay. Okay, help me get him up.",좋아 일으키게 도와줘,
2034 ,We gotta go. The maze is already changing.,가야 돼 미로가 벌써 바뀌고 있어,
2037 ,"Hey, Minho!",민호!,
2038 ,We can't just leave him here.,이렇게 두고 갈 순 없어,
2043 ,We gotta get him up.,"자, 일으켜",
2060 ,Come on.,더 빨리,
2066 ,Just sit him down. Sit him down.,여기 앉혀 앉혀,
2089 ,This isn't going to work. We gotta go.,이러다간 다 죽어.. 가야 돼,
2094 ,We gotta go!,가자,
2095 ,"Wait, what are you talking about? We gotta hide him.",이렇게 두곤 못가. 숨겨주자,
2098 ,Where?,어디에?,
2098 ,I don't know.,나도 몰라,
2099 ,Are you telling me there's not a single place we could take him?,알비를 숨길만한 곳이 없단 말야?,
2103 ,"Listen to me, shuck-face, all right.","잘 들어, 등신아",
2106 ,Take a look around. There's nowhere to go!,주위를 봐 숨길 곳 따윈 없다구,
2112 ,You don't get it.,아직도 모르는군,
2117 ,We're already dead.,우린 벌써 죽었어,
2139 ,"Two, three...","둘, 셋",
2145 ,"Two, three...","둘, 셋",
2149 ,Okay.,좋아,
2156 ,What are you doing? What are you doing?,뭐 하는 거야?,
2158 ,What are you doing?,뭐해?,
2162 ,We gotta go. We gotta go now!,"가야 돼, 당장!",
2168 ,"No, no, just a little more and we'll tie it off.","안돼, 조금 더 올려서 묶어야 돼",
2173 ,"Minho, stay with me.",도와줘,
2176 ,"Stay with me, Minho.","도와줘, 민호",
2178 ,"Just a little more, we're almost there.",조금만 더 올리자,
2180 ,"I'm sorry, Greenie.","미안해, 신참",
2180 ,What?,뭐라구?,
2181 ,Minho!,민호!,
2238 ,Come on.,어서...,
2330 ,"Oh, shit!",빌어먹을!,
2402 ,You're a crazy son of a bitch.,이 미친 자식!,
2404 ,"Come on, follow me. Come on!","따라와, 빨리!",
2413 ,"Okay, it's changing. Come on, come on!","미로가 바뀌고 있어 빨리, 빨리",
2417 ,This section is closing. Come on.,이 구역이 닫히고 있어,
2419 ,We can lose it down here!,저쪽에서 놈을 따돌리자,
2429 ,What are you waiting for? Get out of there!,뭘 기다려? 거기서 나와!,
2437 ,Come on!,와!,
2439 ,Come on!,오라구!,
2444 ,"Come on, Thomas! Don't look back!","토마스, 뒤를 보지마!",
2446 ,Run!,뛰어!,
2448 ,"Move it, Thomas! Go on!","뛰어, 토마스 계속 뛰어!",
2450 ,Move your ass! Let's go! Come on!,"달려, 더 빨리!",
2453 ,"Come on, Greenie! Let's go!","빨리, 신참 달려!",
2455 ,Thomas!,토마스!,
2457 ,"Guys, get up!","형들, 빨리 일어나",
2467 ,"I told you, Chuck.","내가 그랬지, 척?",
2484 ,They're not coming back.,녀석들은 안 와,
2486 ,Let's go.,가자,
2489 ,No way.,말도 안돼,
2499 ,Yeah!,왔어!,
2508 ,"I got him, I got him, I got him.","됐어, 여기 눕혀",
2511 ,Watch out. Easy.,"조심해, 조심",
2513 ,What happened out there?,어떻게 된 거야?,
2513 ,How did you guys make it out?,어떻게 나왔어?,
2516 ,You saw a Griever?,그리버를 봤어?,
2522 ,"Yeah, I saw one.","그래, 봤어",
2525 ,He didn't just see it. He killed it.,보기만 한 게 아냐. 토마스가 놈을 죽였어.,
2539 ,Things are changing.,상황이 달라졌어,
2544 ,There's no denying that.,그건 부정 못해,
2546 ,"First, Ben gets stung in broad daylight.",벤이 벌건 대낮에 그리버한테 찔렸고,
2551 ,And then Alby.,이젠 알비까지...,
2553 ,"And now our Greenie, here, has taken it upon himself...to go into the maze.",그리고 여기 이 신참은 자기 멋대로 미로에 들어갔어,
2560 ,Which is a clear violation of our rules here.,우리가 생명처럼 여기는 룰을 어겼지,
2564 ,Yeah... but he saved Alby's life.,그래 하지만 알비를 구했잖아,
2567 ,Did he?,그래?,
2569 ,"For 3 years, we have coexisted with these things.",3년간 우린 그리버들과 공존해왔어,
2575 ,"And now, you've killed one of them.",근데 네가 한놈을 죽였지,
2578 ,Who knows what that could mean for us.,이제 어떻게 될지 뻔하잖아?,
2583 ,What do you suggest we do?,그래서 어쩌잔 거야?,
2586 ,He has to be punished.,토마스를 벌줘야 돼,
2588 ,Come on.,말도 안돼,
2589 ,He killed a Griever!,그리버를 해치웠잖아,
2591 ,Minho.,민호,
2593 ,You were there with him. What do you think?,네 생각은? 둘이 같이 있었잖아,
2596 ,I think...,내 생각에...,
2601 ,in all the time we've been here...no one has ever killed a Griever before.,지금까지 우리들 중에 그리버를 죽인 사람은 없었어,
2607 ,When I turned tail and ran...,난 도망쳤는데,
2613 ,this dumb shank stayed behind to help Alby.,저 초짜는 알비 구하겠다고 뒤에 남았지,
2617 ,"Look, I don't know if he's brave or stupid.",용감한 건지 멍청한 건진 몰라도,
2622 ,"But whatever it is, we need more of it.",우리한텐 저런 녀석이 더 필요해,
2627 ,I say we make him a runner.,러너를 시키자,
2630 ,A runner? What?,러너를 시켜? 농담이지?,
2632 ,"Minho, let's not jump the gun, here.",섣부른 결정 아냐?,
2635 ,Thomas! Thomas! Thomas!,"토마스, 토마스 토마스",
2638 ,"If you want to throw the newbie a parade, that's fine.",초짜한테 목숨 맡기겠다? 좋을 대로!,
2642 ,Go ahead.,얼마든지 그러라구,
2644 ,But if there is one thing I know about the maze... it is that you do not...,하지만 미로에 대해선 내가 잘 아는데 절대로...,
2661 ,"Okay, wait. I know that sound.",잠깐만 들어본 소리야,
2664 ,The Box. It's coming back up.,박스가 올라오고 있어,
2664 ,It shouldn't be.,그럴리 없어,
2667 ,"Newt, what do you see?","뉴트, 뭐가 들었어?",
2674 ,Do you see it?,보여?,
2681 ,It's a girl.,여자애야,
2685 ,No way.,말도 안돼,
2687 ,I think she's dead.,죽은 것 같아,
2692 ,What's in her hand?,손에 뭐야?,
2695 ,"""She's the last one... ever.""",'이 여자애가 마지막이다',
2711 ,What the hell does that mean?,무슨 뜻이지?,
2719 ,Thomas...,토마스,
2721 ,Do you still think I'm overreacting?,이래도 내가 오버하는 것 같냐?,
2753 ,"Jeff, what's going on?","제프, 좀 어때?",
2755 ,What's the matter with her? Why won't she wake up?,문제가 뭐지? 왜 깨어나질 않는 거야?,
2757 ,"Hey man, I got my job the same way you did.",나도 너희들 처럼 이 일을 하게 된거라고!,
2761 ,Do you recognize her?,누군지 알아?,
2768 ,No.,아니,
